TEAM,YEAR,FTM,FTA,FT_PCT
High Point,2010,431,627,.687
Hofstra,2010,482,664,.726
Holy Cross,2010,464,662,.701
Houston NCAA,2010,545,768,.710
Houston Christian,2010,610,839,.727
Howard,2010,412,696,.592
Idaho,2010,430,651,.661
Idaho State,2010,382,551,.693
Illinois,2010,414,581,.713
Illinois State,2010,502,717,.700
Illinois-Chicago,2010,393,549,.716
Indiana,2010,487,705,.691
Indiana State,2010,476,619,.769
Iona,2010,423,621,.681
Iowa,2010,348,503,.692
Iowa State,2010,442,673,.657
IUPUI,2010,571,799,.715
Jackson State,2010,487,755,.645
Jacksonville,2010,522,739,.706
Jacksonville State,2010,453,619,.732
James Madison,2010,429,628,.683
Kansas NCAA,2010,609,871,.699
Kansas City,2010,458,654,.700
Kansas State NCAA,2010,734,1098,.668
Kennesaw State,2010,379,557,.680
Kent State,2010,515,766,.672
Kentucky NCAA,2010,649,971,.668
La Salle,2010,435,652,.667
Lafayette,2010,512,670,.764
Lamar,2010,568,839,.677
Lehigh NCAA,2010,574,799,.718
Liberty,2010,468,669,.700
Lipscomb,2010,478,678,.705
Little Rock,2010,503,720,.699
Long Beach State,2010,486,745,.652
Long Island University,2010,490,709,.691
Longwood,2010,362,554,.653
Louisiana,2010,389,572,.680
Louisiana State,2010,384,552,.696
Louisiana Tech,2010,521,760,.686
Louisiana-Monroe,2010,548,757,.724
Louisville NCAA,2010,491,700,.701
Loyola (IL),2010,405,589,.688
Loyola (MD),2010,439,628,.699
Loyola Marymount,2010,557,807,.690
Maine,2010,435,634,.686
Manhattan,2010,444,649,.684
Marist,2010,280,439,.638
Marquette NCAA,2010,489,660,.741
Marshall,2010,597,873,.684
Maryland NCAA,2010,502,689,.729
Maryland-Baltimore County,2010,375,544,.689
Maryland-Eastern Shore,2010,402,624,.644
Massachusetts,2010,445,670,.664
McNeese State,2010,339,528,.642
Memphis,2010,573,826,.694
Mercer,2010,568,808,.703
Miami (FL),2010,459,677,.678
Miami (OH),2010,427,587,.727
Michigan,2010,368,509,.723
Michigan State NCAA,2010,523,764,.685
Middle Tennessee,2010,497,675,.736
Milwaukee,2010,542,791,.685
Minnesota NCAA,2010,463,661,.700
Mississippi,2010,485,731,.663
Mississippi State,2010,499,728,.685
Mississippi Valley State,2010,408,642,.636
Missouri NCAA,2010,517,714,.724
Missouri State,2010,530,724,.732
Monmouth,2010,416,607,.685
Montana NCAA,2010,436,603,.723
Montana State,2010,402,584,.688
Morehead State,2010,487,710,.686
Morgan State NCAA,2010,688,983,.700
Mount St. Mary's,2010,434,681,.637
Murray State NCAA,2010,571,821,.695
Navy,2010,474,665,.713
NC State,2010,491,723,.679
Nebraska,2010,441,654,.674
Nevada,2010,515,704,.732
Nevada-Las Vegas NCAA,2010,456,637,.716
New Hampshire,2010,421,653,.645
New Mexico NCAA,2010,608,909,.669
New Mexico State NCAA,2010,537,767,.700
New Orleans,2010,424,618,.686
Niagara,2010,504,743,.678
Nicholls State,2010,431,624,.691
NJIT,2010,379,584,.649
Norfolk State,2010,435,684,.636
North Carolina,2010,558,854,.653
North Carolina A&T,2010,428,686,.624
North Carolina Central,2010,326,485,.672
North Dakota,2010,459,674,.681
North Dakota State,2010,435,597,.729
North Florida,2010,379,602,.630
North Texas NCAA,2010,662,921,.719
Northeastern,2010,424,589,.720
Northern Arizona,2010,386,573,.674
Northern Colorado,2010,614,824,.745
Northern Illinois,2010,445,689,.646
Northern Iowa NCAA,2010,489,645,.758
Northwestern,2010,456,639,.714
Northwestern State,2010,510,838,.609
Notre Dame NCAA,2010,538,744,.723
Oakland NCAA,2010,630,876,.719
Ohio NCAA,2010,635,883,.719
Ohio State NCAA,2010,498,716,.696
Oklahoma,2010,451,606,.744
Oklahoma State NCAA,2010,485,679,.714
Old Dominion NCAA,2010,405,625,.648
Oral Roberts,2010,508,745,.682
Oregon,2010,446,624,.715
Oregon State,2010,449,665,.675
Pacific,2010,431,662,.651
Penn State,2010,383,542,.707
Pennsylvania,2010,376,502,.749
Pepperdine,2010,464,659,.704
Pittsburgh NCAA,2010,537,775,.693
Portland,2010,457,622,.735
Portland State,2010,462,644,.717
Prairie View,2010,386,629,.614
Presbyterian,2010,313,450,.696
Princeton,2010,347,483,.718
Providence,2010,479,714,.671
Purdue NCAA,2010,546,755,.723
Purdue Fort Wayne,2010,414,595,.696
Quinnipiac,2010,558,774,.721
Radford,2010,441,744,.593
Rhode Island,2010,520,745,.698
Rice,2010,413,638,.647
Richmond NCAA,2010,441,630,.700
Rider,2010,455,661,.688
Robert Morris NCAA,2010,572,859,.666
Rutgers,2010,415,623,.666
Sacramento State,2010,417,583,.715
Sacred Heart,2010,295,477,.618
Saint Francis (PA),2010,406,555,.732
Saint Joseph's,2010,488,687,.710
Saint Louis,2010,416,672,.619
Saint Mary's (CA) NCAA,2010,496,652,.761
Saint Peter's,2010,389,586,.664
Sam Houston NCAA,2010,511,727,.703
Samford,2010,302,453,.667
San Diego,2010,416,584,.712
San Diego State NCAA,2010,460,741,.621
San Francisco,2010,499,727,.686
San Jose State,2010,495,680,.728
Santa Clara,2010,508,743,.684
Savannah State,2010,288,443,.650
Seattle,2010,563,872,.646
Seton Hall,2010,478,701,.682
Siena NCAA,2010,534,793,.673
South Alabama,2010,486,685,.709
South Carolina,2010,371,571,.650
South Carolina State,2010,494,675,.732
South Carolina Upstate,2010,351,539,.651
South Dakota,2010,527,794,.664
South Dakota State,2010,573,769,.745
South Florida,2010,543,796,.682
Southeast Missouri State,2010,428,656,.652
Southeastern Louisiana,2010,456,648,.704
Southern,2010,368,616,.597
Southern California,2010,358,550,.651
Southern Illinois,2010,420,608,.691
SIU Edwardsville,2010,347,494,.702
Southern Methodist,2010,450,643,.700
Southern Mississippi,2010,529,733,.722
Southern Utah,2010,411,566,.726
St. Bonaventure,2010,406,614,.661
St. Francis (NY),2010,343,558,.615
St. John's (NY),2010,397,609,.652
Stanford,2010,444,669,.664
Stephen F. Austin,2010,433,611,.709
Stetson,2010,316,517,.611
Stony Brook,2010,459,663,.692
Syracuse NCAA,2010,504,745,.677
TCU,2010,403,576,.700
Temple NCAA,2010,367,533,.689
Tennessee NCAA,2010,520,775,.671
Tennessee State,2010,396,562,.705
Tennessee Tech,2010,499,720,.693
Tennessee-Martin,2010,431,642,.671
Texas NCAA,2010,556,878,.633
Texas A&M NCAA,2010,590,892,.661
Texas A&M-Corpus Christi,2010,480,723,.664
Texas Southern,2010,457,722,.633
Texas State,2010,592,886,.668
Texas Tech,2010,644,901,.715
Texas-Rio Grande Valley,2010,422,655,.644
The Citadel,2010,347,480,.723
Toledo,2010,276,440,.627
Towson,2010,426,638,.668
Troy,2010,363,558,.651
Tulane,2010,424,612,.693
Tulsa,2010,623,881,.707
UAB,2010,573,826,.694
UC Davis,2010,513,729,.704
UC Irvine,2010,476,658,.723
UC Riverside,2010,394,608,.648
UC Santa Barbara NCAA,2010,475,698,.681
UCF,2010,439,644,.682
UCLA,2010,385,609,.632
UNC Asheville,2010,483,717,.674
UNC Greensboro,2010,426,610,.698
UNC Wilmington,2010,400,620,.645
UT Arlington,2010,530,770,.688
Utah,2010,490,655,.748
Utah State NCAA,2010,435,574,.758
Utah Valley,2010,428,572,.748
UTEP NCAA,2010,501,744,.673
UTSA,2010,451,593,.761
Valparaiso,2010,453,636,.712
Vanderbilt NCAA,2010,616,854,.721
Vermont NCAA,2010,639,930,.687
Villanova NCAA,2010,650,861,.755
Virginia,2010,386,516,.748
Virginia Commonwealth,2010,526,747,.704
VMI,2010,468,687,.681
Virginia Tech,2010,614,856,.717
Wagner,2010,287,463,.620
Wake Forest NCAA,2010,501,762,.657
Washington NCAA,2010,652,905,.720
Washington State,2010,548,777,.705
Weber State,2010,537,737,.729
West Virginia NCAA,2010,611,868,.704
Western Carolina,2010,437,682,.641
Western Illinois,2010,400,588,.680
Western Kentucky,2010,473,672,.704
Western Michigan,2010,541,739,.732
Wichita State,2010,525,704,.746
William & Mary,2010,448,640,.700
Winston-Salem,2010,361,615,.587
Winthrop NCAA,2010,448,696,.644
Wisconsin NCAA,2010,416,568,.732
Wofford NCAA,2010,555,830,.669
Wright State,2010,423,577,.733
Wyoming,2010,582,864,.674
Xavier NCAA,2010,621,873,.711
Yale,2010,507,700,.724
Youngstown State,2010,455,665,.684
Air Force,2011,418,593,.705
Akron NCAA,2011,457,649,.704
Alabama,2011,461,652,.707
Alabama A&M,2011,417,668,.624
Alabama State NCAA,2011,525,870,.603
Albany (NY),2011,327,507,.645
Alcorn State,2011,494,781,.633
American,2011,431,600,.718
Appalachian State,2011,489,694,.705
Arizona NCAA,2011,671,899,.746
Arizona State,2011,305,486,.628
Arkansas,2011,475,683,.695
Arkansas State,2011,531,750,.708
Arkansas-Pine Bluff,2011,405,646,.627
Army,2011,360,507,.710
Auburn,2011,435,663,.656
Austin Peay,2011,526,773,.680
Ball State,2011,567,818,.693
Baylor,2011,486,699,.695
Belmont NCAA,2011,575,781,.736
Bethune-Cookman,2011,509,719,.708
Binghamton,2011,326,465,.701
Boise State,2011,605,838,.722
Boston College,2011,422,583,.724
Boston University NCAA,2011,507,695,.729
Bowling Green State,2011,364,567,.642
Bradley,2011,421,583,.722
Brigham Young NCAA,2011,662,865,.765
Brown,2011,417,558,.747
Bryant,2011,350,537,.652
Bucknell NCAA,2011,499,633,.788
Buffalo,2011,435,668,.651
Butler NCAA,2011,580,799,.726
Cal Poly,2011,383,577,.664
Cal State Bakersfield,2011,412,598,.689
Cal State Fullerton,2011,506,704,.719
Cal State Northridge,2011,552,820,.673
California,2011,582,838,.695
Campbell,2011,425,663,.641
Canisius,2011,334,478,.699
Centenary (LA),2011,448,715,.627
Central Arkansas,2011,439,684,.642
Central Connecticut State,2011,486,634,.767
Central Michigan,2011,363,577,.629
Charleston Southern,2011,456,604,.755
Charlotte,2011,447,613,.729
Chattanooga,2011,480,740,.649
Chicago State,2011,465,718,.648
Cincinnati NCAA,2011,496,742,.668
Clemson NCAA,2011,493,703,.701
Cleveland State,2011,601,822,.731
Coastal Carolina,2011,576,832,.692
Colgate,2011,417,611,.682
College of Charleston,2011,441,595,.741
Colorado,2011,679,873,.778
Colorado State,2011,496,717,.692
Columbia,2011,420,588,.714
Connecticut NCAA,2011,627,822,.763
Coppin State,2011,423,603,.701
Cornell,2011,339,492,.689
Creighton,2011,534,732,.730
Dartmouth,2011,315,452,.697
Davidson,2011,496,677,.733
Dayton,2011,468,691,.677
Delaware,2011,443,641,.691
Delaware State,2011,320,448,.714
Denver,2011,366,505,.725
DePaul,2011,409,599,.683
Detroit Mercy,2011,593,863,.687
Drake,2011,420,613,.685
Drexel,2011,420,683,.615
Duke NCAA,2011,622,826,.753
Duquesne,2011,494,794,.622
East Carolina,2011,591,854,.692
East Tennessee State,2011,580,856,.678
Eastern Illinois,2011,352,486,.724
Eastern Kentucky,2011,385,519,.742
Eastern Michigan,2011,374,599,.624
Eastern Washington,2011,405,611,.663
Elon,2011,486,681,.714
Evansville,2011,529,746,.709
Fairfield,2011,457,699,.654
FDU,2011,430,637,.675
Florida NCAA,2011,498,744,.669
Florida A&M,2011,435,718,.606
Florida Atlantic,2011,456,692,.659
Florida Gulf Coast,2011,461,708,.651
Florida International,2011,550,802,.686
Florida State NCAA,2011,482,725,.665
Fordham,2011,317,503,.630
Fresno State,2011,427,679,.629
Furman,2011,503,694,.725
Gardner-Webb,2011,350,545,.642
George Mason NCAA,2011,495,718,.689
George Washington,2011,405,646,.627
Georgetown NCAA,2011,417,568,.734
Georgia NCAA,2011,465,667,.697
Georgia Southern,2011,458,666,.688
Georgia State,2011,326,549,.594
Georgia Tech,2011,406,589,.689
Gonzaga NCAA,2011,617,810,.762
Grambling,2011,434,707,.614
Green Bay,2011,428,621,.689
Hampton NCAA,2011,492,759,.648
Hartford,2011,248,413,.600
Harvard,2011,523,646,.810
Hawaii,2011,503,734,.685
High Point,2011,470,707,.665
Hofstra,2011,501,658,.761
Holy Cross,2011,375,577,.650
Houston,2011,433,647,.669
Houston Christian,2011,490,725,.676
Howard,2011,418,671,.623
Idaho,2011,454,629,.722
Idaho State,2011,453,646,.701
Illinois NCAA,2011,393,539,.729
Illinois State,2011,380,537,.708
Illinois-Chicago,2011,351,526,.667
Indiana,2011,459,632,.726
Indiana State NCAA,2011,480,676,.710
Iona,2011,528,804,.657
Iowa,2011,406,601,.676
Iowa State,2011,380,527,.721
IUPUI,2011,454,580,.783
Jackson State,2011,466,731,.637
Jacksonville,2011,474,708,.669
Jacksonville State,2011,342,527,.649
James Madison,2011,496,698,.711
Kansas NCAA,2011,585,862,.679
Kansas City,2011,448,677,.662
Kansas State NCAA,2011,542,828,.655
Kennesaw State,2011,401,618,.649
Kent State,2011,504,754,.668
Kentucky NCAA,2011,560,789,.710
La Salle,2011,482,680,.709
Lafayette,2011,482,633,.761
Lamar,2011,537,782,.687
Lehigh,2011,624,826,.755
Liberty,2011,441,643,.686
Lipscomb,2011,502,711,.706
Little Rock NCAA,2011,565,819,.690
Long Beach State,2011,546,812,.672
Long Island University NCAA,2011,645,999,.646
Longwood,2011,430,615,.699
Louisiana,2011,474,715,.663
Louisiana State,2011,432,650,.665
Louisiana Tech,2011,416,642,.648
Louisiana-Monroe,2011,363,560,.648
Louisville NCAA,2011,416,627,.663
Loyola (IL),2011,471,639,.737
Loyola (MD),2011,441,625,.706
Loyola Marymount,2011,502,723,.694
Maine,2011,446,638,.699
Manhattan,2011,395,565,.699
Marist,2011,448,629,.712
Marquette NCAA,2011,645,927,.696
Marshall,2011,603,888,.679
Maryland,2011,521,770,.677
Maryland-Baltimore County,2011,345,488,.707
Maryland-Eastern Shore,2011,427,654,.653
Massachusetts,2011,427,645,.662
McNeese State,2011,558,749,.745
Memphis NCAA,2011,532,782,.680
Mercer,2011,532,771,.690
Miami (FL),2011,552,761,.725
Miami (OH),2011,455,625,.728
Michigan NCAA,2011,351,502,.699
Michigan State NCAA,2011,484,691,.700
Middle Tennessee,2011,584,823,.710
Milwaukee,2011,506,773,.655
Minnesota,2011,479,726,.660
Mississippi,2011,517,684,.756
Mississippi State,2011,441,610,.723
Mississippi Valley State,2011,478,719,.665
Missouri NCAA,2011,537,727,.739
Missouri State,2011,518,710,.730
Monmouth,2011,376,588,.639
Montana,2011,471,705,.668
Montana State,2011,412,637,.647
Morehead State NCAA,2011,506,751,.674
Morgan State,2011,522,766,.681
Mount St. Mary's,2011,412,606,.680
Murray State,2011,528,755,.699
Navy,2011,489,690,.709
NC State,2011,454,654,.694
Nebraska,2011,414,590,.702
Nevada,2011,529,771,.686
Nevada-Las Vegas NCAA,2011,495,718,.689
New Hampshire,2011,340,555,.613
New Mexico,2011,582,817,.712
New Mexico State,2011,594,879,.676
Niagara,2011,466,706,.660
Nicholls State,2011,378,550,.687
NJIT,2011,357,578,.618
Norfolk State,2011,498,735,.678
North Carolina NCAA,2011,590,878,.672
North Carolina A&T,2011,519,780,.665
North Carolina Central,2011,419,607,.690
North Dakota,2011,546,804,.679
North Dakota State,2011,467,674,.693
North Florida,2011,489,740,.661
North Texas,2011,675,900,.750
Northeastern,2011,433,577,.750
Northern Arizona,2011,394,593,.664
Northern Colorado NCAA,2011,571,742,.770
Northern Illinois,2011,455,653,.697
Northern Iowa,2011,461,605,.762
Northwestern,2011,416,570,.730
Northwestern State,2011,587,922,.637
Notre Dame NCAA,2011,599,827,.724
Oakland NCAA,2011,601,834,.721
Ohio,2011,552,769,.718
Ohio State NCAA,2011,535,763,.701
Oklahoma,2011,437,592,.738
Oklahoma State,2011,593,818,.725
Old Dominion NCAA,2011,459,687,.668
Oral Roberts,2011,572,798,.717
Oregon,2011,520,704,.739
Oregon State,2011,513,753,.681
Pacific,2011,392,558,.703
Penn State NCAA,2011,394,544,.724
Pennsylvania,2011,395,536,.737
Pepperdine,2011,538,749,.718
Pittsburgh NCAA,2011,540,805,.671
Portland,2011,429,577,.744
Portland State,2011,468,645,.726
Prairie View,2011,343,596,.576
Presbyterian,2011,339,466,.727
Princeton NCAA,2011,446,609,.732
Providence,2011,506,756,.669
Purdue NCAA,2011,481,673,.715
Purdue Fort Wayne,2011,458,593,.772
Quinnipiac,2011,426,697,.611
Radford,2011,404,645,.626
Rhode Island,2011,417,595,.701
Rice,2011,530,733,.723
Richmond NCAA,2011,446,649,.687
Rider,2011,435,670,.649
Robert Morris,2011,434,634,.685
Rutgers,2011,381,563,.677
Sacramento State,2011,388,570,.681
Sacred Heart,2011,413,588,.702
Saint Francis (PA),2011,419,576,.727
Saint Joseph's,2011,432,611,.707
Saint Louis,2011,353,538,.656
Saint Mary's (CA),2011,501,660,.759
Saint Peter's NCAA,2011,446,693,.644
Sam Houston,2011,438,663,.661
Samford,2011,351,520,.675
San Diego,2011,381,561,.679
San Diego State NCAA,2011,455,653,.697
San Francisco,2011,501,728,.688
San Jose State,2011,568,753,.754
Santa Clara,2011,719,990,.726
Savannah State,2011,372,563,.661
Seattle,2011,447,680,.657
Seton Hall,2011,387,576,.672
Siena,2011,419,617,.679
South Alabama,2011,443,666,.665
South Carolina,2011,338,510,.663
South Carolina State,2011,413,612,.675
South Carolina Upstate,2011,282,470,.600
South Dakota,2011,502,752,.668
South Dakota State,2011,489,672,.728
South Florida,2011,463,652,.710
Southeast Missouri State,2011,492,794,.620
Southeastern Louisiana,2011,440,610,.721
Southern,2011,328,550,.596
Southern California NCAA,2011,422,648,.651
Southern Illinois,2011,430,621,.692
SIU Edwardsville,2011,346,517,.669
Southern Methodist,2011,409,551,.742
Southern Mississippi,2011,549,752,.730
Southern Utah,2011,508,716,.709
St. Bonaventure,2011,499,714,.699
St. Francis (NY),2011,447,675,.662
St. John's (NY) NCAA,2011,556,783,.710
Stanford,2011,416,632,.658
Stephen F. Austin,2011,408,566,.721
Stetson,2011,420,677,.620
Stony Brook,2011,372,565,.658
Syracuse NCAA,2011,474,713,.665
TCU,2011,364,540,.674
Temple NCAA,2011,458,656,.698
Tennessee NCAA,2011,527,770,.684
Tennessee State,2011,476,625,.762
Tennessee Tech,2011,530,799,.663
Tennessee-Martin,2011,529,715,.740
Texas NCAA,2011,592,905,.654
Texas A&M NCAA,2011,557,799,.697
Texas A&M-Corpus Christi,2011,430,668,.644
Texas Southern,2011,489,774,.632
Texas State,2011,589,877,.672
Texas Tech,2011,515,706,.729
Texas-Rio Grande Valley,2011,481,710,.677
The Citadel,2011,388,542,.716
Toledo,2011,413,658,.628
Towson,2011,444,614,.723
Troy,2011,355,536,.662
Tulane,2011,411,597,.688
Tulsa,2011,535,763,.701
UAB NCAA,2011,368,513,.717
UC Davis,2011,407,559,.728
UC Irvine,2011,576,784,.735
UC Riverside,2011,393,576,.682
UC Santa Barbara NCAA,2011,459,610,.752
UCF,2011,542,785,.690
UCLA NCAA,2011,549,808,.679
UNC Asheville NCAA,2011,576,810,.711
UNC Greensboro,2011,458,664,.690
UNC Wilmington,2011,326,473,.689
UT Arlington,2011,419,594,.705
Utah,2011,429,618,.694
Utah State NCAA,2011,563,764,.737
Utah Valley,2011,591,780,.758
UTEP,2011,515,769,.670
UTSA NCAA,2011,546,774,.705
Valparaiso,2011,448,674,.665
Vanderbilt NCAA,2011,622,837,.743
Vermont,2011,438,648,.676
Villanova NCAA,2011,582,769,.757
Virginia,2011,356,516,.690
Virginia Commonwealth NCAA,2011,589,824,.715
VMI,2011,505,712,.709
Virginia Tech,2011,533,751,.710
Wagner,2011,491,636,.772
Wake Forest,2011,497,666,.746
Washington NCAA,2011,480,712,.674
Washington State,2011,506,714,.709
Weber State,2011,455,602,.756
West Virginia NCAA,2011,531,747,.711
Western Carolina,2011,399,613,.651
Western Illinois,2011,369,558,.661
Western Kentucky,2011,445,693,.642
Western Michigan,2011,495,708,.699
Wichita State,2011,522,700,.746
William & Mary,2011,399,572,.698
Winthrop,2011,409,636,.643
Wisconsin NCAA,2011,436,533,.818
Wofford NCAA,2011,539,778,.693
Wright State,2011,486,649,.749
Wyoming,2011,449,667,.673
Xavier NCAA,2011,565,756,.747
Yale,2011,433,589,.735
Youngstown State,2011,325,533,.610
Air Force,2012,362,537,.674
Akron,2012,513,741,.692
Alabama NCAA,2012,443,623,.711
Alabama A&M,2012,359,555,.647
Alabama State,2012,354,606,.584
Albany (NY),2012,524,694,.755
Alcorn State,2012,420,606,.693
American,2012,406,567,.716
Appalachian State,2012,426,656,.649
Arizona,2012,568,806,.705
Arizona State,2012,402,594,.677
Arkansas,2012,478,692,.691
Arkansas State,2012,492,737,.668
Arkansas-Pine Bluff,2012,458,719,.637
Army,2012,433,596,.727
Auburn,2012,394,608,.648
Austin Peay,2012,493,735,.671
Ball State,2012,416,604,.689
Baylor NCAA,2012,572,759,.754
Belmont NCAA,2012,572,779,.734
Bethune-Cookman,2012,462,702,.658
Binghamton,2012,376,538,.699
Boise State,2012,407,589,.691
Boston College,2012,350,520,.673
Boston University,2012,393,583,.674
Bowling Green State,2012,323,474,.681
Bradley,2012,426,625,.682
Brigham Young NCAA,2012,540,771,.700
Brown,2012,303,483,.627
Bryant,2012,331,480,.690
Bucknell,2012,532,687,.774
Buffalo,2012,438,665,.659
Butler,2012,523,806,.649
Cal Poly,2012,366,524,.698
Cal State Bakersfield,2012,401,587,.683
Cal State Fullerton,2012,485,699,.694
Cal State Northridge,2012,456,604,.755
California NCAA,2012,477,641,.744
Campbell,2012,509,761,.669
Canisius,2012,366,503,.728
Central Arkansas,2012,336,605,.555
Central Connecticut State,2012,415,547,.759
Central Michigan,2012,377,594,.635
Charleston Southern,2012,454,658,.690
Charlotte,2012,432,656,.659
Chattanooga,2012,490,714,.686
Chicago State,2012,353,541,.652
Cincinnati NCAA,2012,414,643,.644
Clemson,2012,358,534,.670
Cleveland State,2012,352,496,.710
Coastal Carolina,2012,392,582,.674
Colgate,2012,375,544,.689
College of Charleston,2012,438,683,.641
Colorado NCAA,2012,560,810,.691
Colorado State NCAA,2012,526,685,.768
Columbia,2012,378,509,.743
Connecticut NCAA,2012,435,657,.662
Coppin State,2012,412,596,.691
Cornell,2012,338,494,.684
Creighton NCAA,2012,535,737,.726
Dartmouth,2012,389,552,.705
Davidson NCAA,2012,558,731,.763
Dayton,2012,484,623,.777
Delaware,2012,545,760,.717
Delaware State,2012,349,498,.701
Denver,2012,401,526,.762
DePaul,2012,360,517,.696
Detroit Mercy NCAA,2012,626,857,.730
Drake,2012,491,749,.656
Drexel,2012,527,711,.741
Duke NCAA,2012,606,864,.701
Duquesne,2012,441,660,.668
East Carolina,2012,406,593,.685
East Tennessee State,2012,434,684,.635
Eastern Illinois,2012,373,493,.757
Eastern Kentucky,2012,404,551,.733
Eastern Michigan,2012,385,556,.692
Eastern Washington,2012,467,659,.709
Elon,2012,397,589,.674
Evansville,2012,572,749,.764
Fairfield,2012,420,645,.651
FDU,2012,343,520,.660
Florida NCAA,2012,499,700,.713
Florida A&M,2012,352,572,.615
Florida Atlantic,2012,333,502,.663
Florida Gulf Coast,2012,409,608,.673
Florida International,2012,426,588,.724
Florida State NCAA,2012,473,669,.707
Fordham,2012,333,546,.610
Fresno State,2012,486,674,.721
Furman,2012,434,608,.714
Gardner-Webb,2012,414,620,.668
George Mason,2012,511,732,.698
George Washington,2012,326,491,.664
Georgetown NCAA,2012,470,673,.698
Georgia,2012,364,530,.687
Georgia Southern,2012,341,513,.665
Georgia State,2012,436,665,.656
Georgia Tech,2012,308,471,.654
Gonzaga NCAA,2012,575,803,.716
Grambling,2012,358,519,.690
Green Bay,2012,384,544,.706
Hampton,2012,459,717,.640
Hartford,2012,324,486,.667
Harvard NCAA,2012,458,613,.747
Hawaii,2012,524,786,.667
High Point,2012,448,654,.685
Hofstra,2012,536,747,.718
Holy Cross,2012,374,519,.721
Houston,2012,398,565,.704
Houston Christian,2012,481,704,.683
Howard,2012,505,744,.679
Idaho,2012,469,697,.673
Idaho State,2012,396,579,.684
Illinois,2012,378,529,.715
Illinois State,2012,534,708,.754
Illinois-Chicago,2012,361,539,.670
Indiana NCAA,2012,655,858,.763
Indiana State,2012,475,659,.721
Iona NCAA,2012,440,617,.713
Iowa,2012,550,763,.721
Iowa State NCAA,2012,503,731,.688
IUPUI,2012,495,638,.776
